id,title,status,user_score,watchd_ep,total_ep,airing_status,media_type,mpaa_rating,start_date,end_date
37086,Kakegurui××,Completed,6,12,12,Finished Airing,TV,R,09-Jan-2019,27-Mar-2019
40716,Kakushigoto (TV),Completed,7,12,12,Finished Airing,TV,PG-13,02-Apr-2020,18-Jun-2020
40221,Kami no Tou,Completed,7,13,13,Finished Airing,TV,PG-13,02-Apr-2020,25-Jun-2020
39198,Kanata no Astra,Completed,8,12,12,Finished Airing,TV,PG-13,03-Jul-2019,18-Sep-2019
40839,"Kanojo, Okarishimasu",Completed,6,12,12,Finished Airing,TV,PG-13,11-Jul-2020,26-Sep-2020
2593,Kara no Kyoukai 1: Fukan Fuukei,Completed,7,1,1,Finished Airing,Movie,R,01-Dec-2007,01-Dec-2007
3782,Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Completed,7,1,1,Finished Airing,Movie,R,29-Dec-2007,29-Dec-2007
3783,Kara no Kyoukai 3: Tsuukaku Zanryuu,Completed,8,1,1,Finished Airing,Movie,R+,09-Feb-2008,09-Feb-2008
4280,Kara no Kyoukai 4: Garan no Dou,Completed,6,1,1,Finished Airing,Movie,R,24-May-2008,24-May-2008
4282,Kara no Kyoukai 5: Mujun Rasen,Completed,7,1,1,Finished Airing,Movie,R,16-Aug-2008,16-Aug-2008
5204,Kara no Kyoukai 6: Boukyaku Rokuon,Completed,5,1,1,Finished Airing,Movie,R,20-Dec-2008,20-Dec-2008
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Go),Completed,8,1,1,Finished Airing,Movie,R,08-Aug-2009,08-Aug-2009
6954,Kara no Kyoukai 8: Shuushou,Completed,4,1,1,Finished Airing,Special,PG-13,02-Feb-2011,02-Feb-2011
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,Completed,5,1,1,Finished Airing,Movie,R,14-Mar-2009,14-Mar-2009
23697,Kara no Kyoukai: Manner Movies,Completed,1,7,7,Finished Airing,Movie,G,01-Dec-2007,08-Aug-2009
14807,Kara no Kyoukai: Mirai Fukuin,Completed,7,1,1,Finished Airing,Movie,R,28-Sep-2013,28-Sep-2013
22763,Kara no Kyoukai: Mirai Fukuin - Extra Chorus,Completed,6,1,1,Finished Airing,Special,R,28-Sep-2013,28-Sep-2013
22847,Kara no Kyoukai: Mirai Fukuin - Manner Movie,Completed,1,1,1,Finished Airing,Movie,G,28-Sep-2013,28-Sep-2013
35860,Karakai Jouzu no Takagi-san,Completed,6,12,12,Finished Airing,TV,PG-13,08-Jan-2018,26-Mar-2018
38993,Karakai Jouzu no Takagi-san 2,Completed,6,12,12,Finished Airing,TV,PG-13,07-Jul-2019,22-Sep-2019
37621,Karakai Jouzu no Takagi-san: Water Slide,Completed,5,1,1,Finished Airing,OVA,PG-13,12-Jul-2018,12-Jul-2018
572,Kaze no Tani no Nausicaä,Completed,8,1,1,Finished Airing,Movie,PG-13,11-Mar-1984,11-Mar-1984
16662,Kaze Tachinu,Completed,6,1,1,Finished Airing,Movie,PG-13,20-Jul-2013,20-Jul-2013
38000,Kimetsu no Yaiba,Completed,7,26,26,Finished Airing,TV,R,06-Apr-2019,28-Sep-2019
32281,Kimi no Na wa.,Completed,8,1,1,Finished Airing,Movie,PG-13,26-Aug-2016,26-Aug-2016
36098,Kimi no Suizou wo Tabetai,Completed,8,1,1,Finished Airing,Movie,PG-13,01-Sep-2018,01-Sep-2018
22535,Kiseijuu: Sei no Kakuritsu,Completed,8,24,24,Finished Airing,TV,R,09-Oct-2014,26-Mar-2015
5042,Kiss x Sis,Completed,3,12,12,Finished Airing,OVA,R+,22-Dec-2008,06-Apr-2015
7593,Kiss x Sis (TV),Completed,3,12,12,Finished Airing,TV,PG-13,05-Apr-2010,21-Jun-2010
9260,Kizumonogatari I: Tekketsu-hen,Completed,5,1,1,Finished Airing,Movie,R,08-Jan-2016,08-Jan-2016
31757,Kizumonogatari II: Nekketsu-hen,Completed,6,1,1,Finished Airing,Movie,R,19-Aug-2016,19-Aug-2016
31758,Kizumonogatari III: Reiketsu-hen,Completed,6,1,1,Finished Airing,Movie,R,06-Jan-2017,06-Jan-2017
28851,Koe no Katachi,Completed,9,1,1,Finished Airing,Movie,PG-13,17-Sep-2016,17-Sep-2016
15227,Kono Sekai no Katasumi ni,Completed,8,1,1,Finished Airing,Movie,PG-13,12-Nov-2016,12-Nov-2016
